date_iso,day_name,time_local,content_type,pillar,idea,cta
2025-08-15,Friday,12:00,Story,food,Casual story moment highlighting food,Follow for more like this
2025-08-16,Saturday,10:00,Reel,food,Quick food tip in 15 seconds with on-screen captions,Try this and tag me
2025-08-16,Saturday,18:00,Story,lifestyle,Casual story moment highlighting lifestyle,Comment your thoughts
2025-08-17,Sunday,10:00,Story,food,Casual story moment highlighting food,Double-tap if this helped
2025-08-17,Sunday,15:00,Reel,travel,Quick travel tip in 15 seconds with on-screen captions,Double-tap if this helped
2025-08-18,Monday,09:00,Story,travel,Casual story moment highlighting travel,Share with a friend
2025-08-19,Tuesday,09:00,Carousel,food,Step-by-step food guide in 5-7 slides,Share with a friend
2025-08-19,Tuesday,13:00,Story,travel,Casual story moment highlighting travel,Save this for later
2025-08-20,Wednesday,12:00,Story,travel,Casual story moment highlighting travel,Share with a friend
2025-08-21,Thursday,09:00,Carousel,travel,Step-by-step travel guide in 5-7 slides,Comment your thoughts
2025-08-21,Thursday,17:00,Story,food,Casual story moment highlighting food,Comment your thoughts
2025-08-22,Friday,09:00,Story,food,Casual story moment highlighting food,Share with a friend
2025-08-22,Friday,12:00,Reel,lifestyle,Quick lifestyle tip in 15 seconds with on-screen captions,Follow for more like this
2025-08-23,Saturday,14:00,Story,travel,Casual story moment highlighting travel,Save this for later
2025-08-24,Sunday,15:00,Story,food,Casual story moment highlighting food,Follow for more like this
2025-08-25,Monday,09:00,Story,lifestyle,Casual story moment highlighting lifestyle,Comment your thoughts
2025-08-25,Monday,18:00,Photo,food,Before-and-after or behind-the-scenes related to food,Share with a friend
2025-08-26,Tuesday,19:00,Story,travel,Casual story moment highlighting travel,Double-tap if this helped
2025-08-27,Wednesday,08:00,Story,food,Casual story moment highlighting food,Save this for later
2025-08-27,Wednesday,12:00,Reel,food,Quick food tip in 15 seconds with on-screen captions,Try this and tag me
2025-08-28,Thursday,12:00,Photo,travel,Before-and-after or behind-the-scenes related to travel,Save this for later
2025-08-28,Thursday,17:00,Story,lifestyle,Casual story moment highlighting lifestyle,Share with a friend
2025-08-29,Friday,09:00,Story,travel,Casual story moment highlighting travel,Share with a friend
2025-08-29,Friday,16:00,Reel,food,Quick food tip in 15 seconds with on-screen captions,Try this and tag me
2025-08-30,Saturday,18:00,Story,lifestyle,Casual story moment highlighting lifestyle,Comment your thoughts
2025-08-31,Sunday,10:00,Carousel,lifestyle,Step-by-step lifestyle guide in 5-7 slides,Save this for later
2025-08-31,Sunday,15:00,Story,lifestyle,Casual story moment highlighting lifestyle,Share with a friend
2025-09-01,Monday,09:00,Reel,travel,Quick travel tip in 15 seconds with on-screen captions,Comment your thoughts
2025-09-01,Monday,12:00,Story,travel,Casual story moment highlighting travel,Try this and tag me
2025-09-02,Tuesday,13:00,Story,lifestyle,Casual story moment highlighting lifestyle,Try this and tag me
2025-09-02,Tuesday,19:00,Photo,food,Before-and-after or behind-the-scenes related to food,Try this and tag me
2025-09-03,Wednesday,18:00,Story,travel,Casual story moment highlighting travel,Double-tap if this helped
2025-09-04,Thursday,12:00,Story,travel,Casual story moment highlighting travel,Try this and tag me
2025-09-05,Friday,09:00,Reel,food,Quick food tip in 15 seconds with on-screen captions,Double-tap if this helped
2025-09-05,Friday,16:00,Story,lifestyle,Casual story moment highlighting lifestyle,Comment your thoughts
2025-09-06,Saturday,10:00,Reel,travel,Quick travel tip in 15 seconds with on-screen captions,Try this and tag me
2025-09-06,Saturday,18:00,Story,lifestyle,Casual story moment highlighting lifestyle,Follow for more like this
2025-09-07,Sunday,19:00,Story,food,Casual story moment highlighting food,Try this and tag me
2025-09-08,Monday,09:00,Story,food,Casual story moment highlighting food,Save this for later
2025-09-08,Monday,18:00,Photo,food,Before-and-after or behind-the-scenes related to food,Try this and tag me
2025-09-09,Tuesday,09:00,Story,travel,Casual story moment highlighting travel,Comment your thoughts
2025-09-10,Wednesday,08:00,Photo,food,Before-and-after or behind-the-scenes related to food,Follow for more like this
2025-09-10,Wednesday,18:00,Story,food,Casual story moment highlighting food,Double-tap if this helped
2025-09-11,Thursday,17:00,Story,food,Casual story moment highlighting food,Comment your thoughts
2025-09-12,Friday,09:00,Reel,travel,Quick travel tip in 15 seconds with on-screen captions,Try this and tag me
2025-09-12,Friday,12:00,Story,lifestyle,Casual story moment highlighting lifestyle,Comment your thoughts
2025-09-13,Saturday,14:00,Story,travel,Casual story moment highlighting travel,Try this and tag me
2025-09-13,Saturday,18:00,Reel,travel,Quick travel tip in 15 seconds with on-screen captions,Comment your thoughts
