date_iso,day_name,time_local,content_type,pillar,idea,cta
2025-08-15,Friday,09:00,Story,nutrition,Casual story moment highlighting nutrition,Follow for more like this
2025-08-16,Saturday,14:00,Story,fitness,Casual story moment highlighting fitness,Share with a friend
2025-08-16,Saturday,18:00,Carousel,fitness,Step-by-step fitness guide in 5-7 slides,Double-tap if this helped
2025-08-17,Sunday,19:00,Story,nutrition,Casual story moment highlighting nutrition,Try this and tag me
2025-08-18,Monday,09:00,Photo,nutrition,Before-and-after or behind-the-scenes related to nutrition,Save this for later
2025-08-19,Tuesday,09:00,Reel,fitness,Quick fitness tip in 15 seconds with on-screen captions,Double-tap if this helped
2025-08-20,Wednesday,18:00,Story,fitness,Casual story moment highlighting fitness,Share with a friend
2025-08-21,Thursday,09:00,Story,nutrition,Casual story moment highlighting nutrition,Save this for later
2025-08-21,Thursday,12:00,Reel,nutrition,Quick nutrition tip in 15 seconds with on-screen captions,Double-tap if this helped
2025-08-22,Friday,09:00,Story,fitness,Casual story moment highlighting fitness,Try this and tag me
2025-08-23,Saturday,18:00,Carousel,nutrition,Step-by-step nutrition guide in 5-7 slides,Comment your thoughts
2025-08-24,Sunday,10:00,Story,nutrition,Casual story moment highlighting nutrition,Double-tap if this helped
2025-08-24,Sunday,15:00,Reel,fitness,Quick fitness tip in 15 seconds with on-screen captions,Comment your thoughts
2025-08-25,Monday,12:00,Photo,wellness,Before-and-after or behind-the-scenes related to wellness,Share with a friend
2025-08-25,Monday,18:00,Story,fitness,Casual story moment highlighting fitness,Double-tap if this helped
2025-08-26,Tuesday,19:00,Story,nutrition,Casual story moment highlighting nutrition,Try this and tag me
2025-08-27,Wednesday,08:00,Story,fitness,Casual story moment highlighting fitness,Double-tap if this helped
2025-08-28,Thursday,17:00,Reel,fitness,Quick fitness tip in 15 seconds with on-screen captions,Follow for more like this
